,x,y,nom_commune,num_departement,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12,param_13,param_14,param_15,param_16,param_17,param_18,param_19,param_20,param_21,param_22,param_23,param_24,param_25,param_26,param_27,param_28,param_29,param_30,param_31,param_32,param_33,param_34,param_35,pesticides et leurs métabolites,"métaux, métalloïdes et autres ions minéraux",hydrocarbures aromatiques polycycliques,substances chimiques industrielles (utilisation et/ou production),médicaments,"nitrates, nitrites et engrais azotés"
76,0.526,42.815,Billière,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
77,-0.932,45.304,Lesparre-Médoc,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
78,5.389,47.201,Auxonne,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
79,0.138,45.211,Saint Aulaye-Puymangou,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
80,0.479,42.776,Gouaux-de-Larboust,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
81,2.856,42.75,Peyrestortes,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
82,4.689,48.675,Matignicourt-Goncourt,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
83,2.517,45.185,Anglards-de-Salers,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
84,2.716,42.69,Saint-Féliu-d'Amont,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
85,2.693,45.354,Montboudif,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
86,2.82,45.273,Saint-Bonnet-de-Condat,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
87,6.705,45.434,Planay,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
88,2.824,45.293,Saint-Bonnet-de-Condat,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
89,0.363,45.186,Siorac-de-Ribérac,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
90,1.569,45.32,Perpezac-le-Noir,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
91,6.835,48.374,Étival-Clairefontaine,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
92,3.435,50.191,Saint-Vaast-en-Cambrésis,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
93,5.824,45.542,Aiguebelette-le-Lac,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
94,0.918,45.015,Saint-Félix-de-Reillac-et-Mortemart,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
95,6.544,47.517,Courchaton,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
96,6.494,47.44,Soye,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
97,1.849,45.33,Corrèze,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
98,0.749,49.022,Mesnil-en-Ouche,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
99,0.795,45.198,Trélissac,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
100,2.457,42.744,Prats-de-Sournia,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
101,3.254,48.379,Montigny-le-Guesdier,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
102,5.0,45.426,Cour-et-Buis,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
103,4.972,45.375,Moissieu-sur-Dolon,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
104,0.407,48.997,La Vespière-Friardel,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
105,5.169,45.489,Saint-Jean-de-Bournay,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
106,2.59,45.191,Le Vaulmier,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
107,2.608,45.226,Collandres,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
108,2.563,42.731,Caramany,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
109,5.29,45.401,Gillonnay,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
110,3.416,50.38,Wallers,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
111,4.892,48.619,Moëslains,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
112,6.275,45.467,Saint-Pierre-de-Belleville,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
113,7.007,47.334,Burnevillers,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
114,6.356,45.541,Montsapey,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
115,3.037,42.844,Leucate,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
116,6.456,45.515,La Léchère,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
117,3.04,50.303,Bellonne,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
118,6.722,47.264,Cour-Saint-Maurice,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
119,5.618,45.39,Saint-Étienne-de-Crossey,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
120,6.296,45.408,La Chapelle,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
121,5.788,45.503,Attignat-Oncin,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
122,1.864,47.06,Vatan,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
123,6.3,45.445,Épierre,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
124,5.472,48.728,Saint-Aubin-sur-Aire,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
125,0.587,49.056,Treis-Sants-en-Ouche,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
126,0.586,49.055,Treis-Sants-en-Ouche,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
127,2.688,45.228,Apchon,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
128,2.73,45.187,Cheylade,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
129,2.737,42.675,Saint-Féliu-d'Avall,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
130,2.722,42.674,Saint-Féliu-d'Amont,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
131,1.646,48.365,Prunay-le-Gillon,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
132,2.276,45.275,Chalvignac,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
133,2.223,45.271,Soursac,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
134,4.048,45.417,Estivareilles,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
135,2.024,45.216,Gros-Chastang,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
136,2.718,42.673,Saint-Féliu-d'Amont,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
137,4.109,47.176,Montsauche-les-Settons,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
138,2.722,42.67,Saint-Féliu-d'Amont,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
139,5.534,48.615,Mauvages,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
140,1.814,45.199,Lagarde-Marc-la-Tour,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
141,4.715,48.692,Thiéblemont-Farémont,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
142,5.746,48.243,Beaufremont,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
143,0.137,45.007,Montpon-Ménestérol,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
144,6.646,47.446,Saint-Maurice-Colombier,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
145,6.587,47.455,L'Isle-sur-le-Doubs,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
146,0.159,43.043,Asté,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
147,5.963,44.92,Le Périer,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
148,7.251,48.614,Dabo,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
149,6.369,47.525,Esprels,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
150,6.398,47.535,Autrey-le-Vay,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
151,-4.963,48.395,Île-Molène,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
152,-2.973,48.205,Guerlédan,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
153,1.564,48.525,Jouy,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
154,6.643,47.677,Magny-Danigon,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
155,1.636,45.593,La Croisille-sur-Briance,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
156,-0.032,43.096,Lourdes,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
157,5.626,46.797,Passenans,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
158,6.945,44.824,Abriès-Ristolas,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
159,7.428,48.606,Westhoffen,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
160,0.352,43.031,Labastide,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
161,-1.024,44.707,Lanton,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
162,6.169,47.585,La Demie,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
163,1.511,45.584,Saint-Germain-les-Belles,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
164,4.871,47.121,Marey-lès-Fussey,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
165,0.836,44.925,Val de Louyre et Caudeau,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
166,3.625,50.419,Quarouble,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
